Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Status,Winning Candidate,Winning Party
Bhavnagar,15,DR.BHARATIBEN DHIRUBHAI SHIYAL,Bharatiya Janata Party,PATEL MANHARBHAI NAGJIBHAI (VASANI),Indian National Congress,295488,Result Declared,DR. BHARATIBEN DHIRUBHAI SHIYAL,Bharatiya Janata Party
Chhota Udaipur,21,RATHVA GITABEN VAJESINGBHAI,Bharatiya Janata Party,RATHAVA RANJITSINH MOHANSINH,Indian National Congress,179729,Result Declared,RAMSINH RATHWA,Bharatiya Janata Party
Dahod,19,JASHVANTSINH SUMANBHAI BHABHOR,Bharatiya Janata Party,KATARA BABUBHAI KHIMABHAI,Indian National Congress,230354,Result Declared,JASVANTSINH SUMANBHAI BHABHOR,Bharatiya Janata Party
Ambala,1,RATTAN LAL KATARIA,Bharatiya Janata Party,SELJA,Indian National Congress,340074,Result Declared,RATTAN LAL KATARIA,Bharatiya Janata Party
Bhiwani-Mahendragarh,8,Dharambir Singh S/o Bhale Ram,Bharatiya Janata Party,Shruti Choudhry,Indian National Congress,129394,Result Declared,DHARAMBIR S/O BHALE RAM,Bharatiya Janata Party
Faridabad,10,KRISHAN PAL,Bharatiya Janata Party,AVTAR SINGH BHADANA,Indian National Congress,466873,Result Declared,KRISHAN PAL,Bharatiya Janata Party
Gurgaon,9,RAO INDERJIT SINGH,Bharatiya Janata Party,CAPT. AJAY SINGH,Indian National Congress,274722,Result Declared,INDERJIT SINGH RAO,Bharatiya Janata Party
Hisar,4,BRIJENDRA SINGH,Bharatiya Janata Party,DUSHYANT CHAUTALA,Jannayak Janta Party,31847,Result Declared,DUSHYANT CHAUTALA,Indian National Lok Dal
Karnal,5,Sanjay Bhatia,Bharatiya Janata Party,Kuldip Sharma,Indian National Congress,360147,Result Declared,ASHWINI KUMAR,Bharatiya Janata Party
Kurukshetra,2,NAYAB SINGH,Bharatiya Janata Party,NIRMAL SINGH,Indian National Congress,129736,Result Declared,RAJ KUMAR SAINI,Bharatiya Janata Party
Rohtak,7,ARVIND KUMAR SHARMA,Bharatiya Janata Party,DEEPENDER SINGH HOODA,Indian National Congress,170627,Result Declared,DEEPENDER SINGH HOODA,Indian National Congress
Sirsa,3,Sunita Duggal,Bharatiya Janata Party,Ashok Tanwar,Indian National Congress,115736,Result Declared,CHARANJEET SINGH RORI,Indian National Lok Dal
Sonipat,6,RAMESH CHANDER KAUSHIK,Bharatiya Janata Party,BHUPINDER SINGH HOODA,Indian National Congress,77414,Result Declared,RAMESH CHANDER,Bharatiya Janata Party
