STATE,PC NO,PC NAME,PC NAME Processed,NO. OF AC SEGMENTS,NO. OF POLLING STATION,ELECTORS,AVG. NO OF ELECTORS PER POLLING STATION,NOMINATIONS,CONTESTENTS,FORFIETED DEPOSITS,VOTERS,VOTERS TURN OUT (IN %),
Odisha,13,Kandhamal,Kandhamal,7,1497,1143602,764,8,8,6,839796,79.75,
Himachal Pradesh,1,Kangra,Kangra,17,1796,1258599,701,14,12,10,799926,76.15,
Chhattisgarh,11,KANKER,Kanker,8,1781,1448375,813,11,10,8,1017080,71.58,
Uttar Pradesh,42,Kannauj,Kannauj,5,1996,1808886,906,23,12,10,1114576,82.59,
Tamil Nadu,39,Kanniyakumari,Kanniyakumari,6,1562,1467768,940,34,25,22,991162,74.02,
Kerala,2,Kannur,Kannur,7,1002,1168593,1168,17,11,9,948572,71.93,
Uttar Pradesh,43,Kanpur,Kanpur,5,1492,1611248,1080,39,21,19,835125,75.60,
West Bengal,31,Kanthi,Kanthi,7,1843,1490409,809,7,7,5,1292373,84.68,
Bihar,35,Karakat,Karakat,6,1607,1580558,984,18,15,13,790361,72.08,
Rajasthan,10,KARAULI-DHOLPUR,Karauli-Dholpur,8,1748,1549468,886,14,14,12,846343,60.51,
Assam,1,Karimganj ,Karimganj ,8,1504,1165997,775,16,15,12,887782,76.15,
Andhra Pradesh,3,Karimnagar ,Karimnagar ,7,1876,1550810,827,20,17,14,1127225,72.69,
Haryana,5,Karnal,Karnal,9,1559,1684321,1080,33,23,21,1193697,76.09,
Tamil Nadu,23,Karur,Karur,6,1495,1298322,868,32,25,23,1047054,77.68,
Kerala,1,Kasaragod,Kasaragod,7,1093,1242829,1138,24,14,11,975195,76.15,
Bihar,11,Katihar,Katihar,6,1358,1446478,1065,22,21,19,977833,71.58,
Uttar Pradesh,50,Kaushambi,Kaushambi,5,1701,1738509,1022,20,11,8,910514,84.40,
Odisha,15,Kendrapara ,Kendrapara ,7,1935,1555444,804,7,7,5,1137607,76.52,
Odisha,4,Keonjhar ,Keonjhar ,7,1873,1346683,719,8,8,5,1084571,69.11,
Punjab,3,Khadoor Sahib,Khadoor Sahib,9,1793,1563394,872,28,17,15,1040622,72.69,
Bihar,25,Khagaria,Khagaria,6,1400,1506587,1076,14,13,10,896310,81.38,
Madhya Pradesh,8,KHAJURAHO,Khajuraho,8,1864,1702833,914,20,17,15,874531,53.06,
Andhra Pradesh,17,Khammam ,Khammam ,7,1610,1440267,895,27,27,25,1188875,82.55,
Madhya Pradesh,28,KHANDWA,Khandwa,8,1965,1759417,895,16,14,12,1257711,83.48,
Madhya Pradesh,27,KHARGONE,Khargone,8,1877,1703272,907,8,8,6,1152674,84.27,
Gujarat,17,Kheda,Kheda,7,1753,1599471,912,17,15,13,957464,82.55,
Uttar Pradesh,28,Kheri,Kheri,5,1661,1679466,1011,16,11,8,1077881,83.48,
Jharkhand,11,Khunti,Khunti,6,1441,1111856,772,16,14,11,737611,71.58,
