STATE,PC NO,PC NAME,PC NAME Processed,NO. OF AC SEGMENTS,NO. OF POLLING STATION,ELECTORS,AVG. NO OF ELECTORS PER POLLING STATION,NOMINATIONS,CONTESTENTS,FORFIETED DEPOSITS,VOTERS,VOTERS TURN OUT (IN %),
Andhra Pradesh,1,Adilabad ,Adilabad ,7,1662,1386282,834,11,8,5,1055593,76.15,
Uttar Pradesh,18,Agra,Agra,5,1866,1814739,973,25,15,13,1070405,71.82,
Maharashtra,37,Ahmadnagar ,Ahmadnagar ,6,1946,1705005,876,19,13,11,1062780,81.53,
Gujarat,7,Ahmedabad East,Ahmedabad East,7,1641,1601832,976,24,14,12,986526,51.05,
Gujarat,8,Ahmedabad West,Ahmedabad West,7,1471,1534400,1043,14,11,9,965560,53.06,
Rajasthan,13,Ajmer,Ajmer,8,1804,1683261,933,17,12,10,1156867,79.75,
Uttar Pradesh,44,Akbarpur,Akbarpur,5,1792,1768635,987,28,18,16,971448,84.16,
Maharashtra,6,Akola,Akola,6,1755,1672643,953,9,7,4,978630,77.70,
Kerala,15,Alappuzha,Alappuzha,7,1130,1271149,1125,17,13,11,998656,76.52,
Kerala,9,Alathur ,Alathur ,7,1036,1216207,1174,15,12,10,928656,53.30,
Uttar Pradesh,15,Aligarh,Aligarh,5,1770,1793126,1013,21,14,11,1064697,76.52,
West Bengal,2,Alipurduars,Alipurduars,7,1810,1470911,813,10,10,7,1225237,71.93,
Uttar Pradesh,52,Allahabad,Allahabad,5,1551,1666569,1075,36,23,20,891635,81.38,
Uttarakhand,3,Almora,Almora,14,1943,1253541,645,11,9,7,656934,72.69,
Rajasthan,8,Alwar,Alwar,8,1786,1626442,911,25,19,17,1063043,53.06,
Andhra Pradesh,24,Amalapuram ,Amalapuram ,7,1500,1357865,905,18,14,12,1121986,82.63,
Haryana,1,Ambala,Ambala,9,1762,1692424,961,20,14,12,1220125,76.15,
Uttar Pradesh,55,Ambedkar Nagar,Ambedkar Nagar,5,1717,1718774,1001,27,14,11,1034435,80.11,
Uttar Pradesh,37,Amethi,Amethi,5,1636,1669843,1021,38,34,32,874872,81.53,
Maharashtra,7,Amravati ,Amravati ,6,1835,1612739,879,33,19,17,1004542,51.05,
Gujarat,14,Amreli,Amreli,7,1694,1486286,877,19,14,12,809615,81.27,
Punjab,2,Amritsar,Amritsar,9,1527,1477260,967,32,23,21,1007286,71.93,
Uttar Pradesh,9,Amroha,Amroha,5,1572,1544245,982,20,15,13,1095895,53.30,
Andhra Pradesh,22,Anakapalli,Anakapalli,7,1584,1401474,885,11,8,6,1149326,82.01,
Gujarat,16,Anand,Anand,7,1577,1496859,949,20,15,13,971262,81.21,
Punjab,6,Anandpur Sahib,Anandpur Sahib,9,1831,1564708,855,23,18,15,1087487,77.70,
Andhra Pradesh,36,Anantapur,Anantapur,7,1671,1536894,920,17,13,11,1212195,78.87,
Jammu & Kashmir,3,Anantnag,Anantnag,17,1615,1301143,806,13,12,10,375281,72.69,
Andaman & Nicobar Islands,1,Andaman & Nicobar Islands,Andaman & Nicobar Islands,1,386,269360,698,22,15,13,190346,76.15,
Uttar Pradesh,24,Aonla,Aonla,5,1753,1653577,943,14,13,10,995817,82.63,
Tamil Nadu,7,Arakkonam,Arakkonam,6,1623,1401813,864,35,27,24,1089771,51.05,
West Bengal,29,Arambagh,Arambagh,7,2053,1600293,779,5,5,3,1362848,76.64,
Tamil Nadu,12,Arani,Arani,6,1649,1369668,831,24,19,16,1096549,75.55,
Bihar,9,Araria,Araria,6,1422,1587332,1116,13,13,10,975813,53.30,
Bihar,32,Arrah,Arrah,7,1765,1824515,1034,13,12,10,893351,85.16,
Andhra Pradesh,18,Aruku ,Aruku ,7,1628,1272340,782,13,11,9,913838,71.82,
Arunachal Pradesh,2,ARUNACHAL EAST,Arunachal East,27,899,312704,348,3,3,1,263157,71.93,
Arunachal Pradesh,1,ARUNACHAL WEST,Arunachal West,33,1259,446640,355,8,8,6,337671,76.15,
West Bengal,40,Asansol,Asansol,7,1813,1469684,811,14,14,11,1142786,77.14,
Odisha,19,Aska,Aska,7,1579,1408780,892,9,9,7,896461,74.60,
Kerala,19,Attingal,Attingal,7,1118,1251111,1119,20,16,14,859365,74.60,
Bihar,37,Aurangabad,Aurangabad,6,1760,1536153,873,13,13,10,786342,81.53,
Maharashtra,19,Aurangabad,Aurangabad,6,1713,1589395,928,45,27,25,983057,74.60,
Assam,3,Autonomous District,Autonomous District,5,1006,702230,698,7,5,2,543717,72.69,
Uttar Pradesh,69,Azamgarh,Azamgarh,5,1686,1703121,1010,28,18,15,960600,67.60,
Uttar Pradesh,23,Badaun,Badaun,5,1812,1769145,976,17,15,13,1027669,77.68,
Karnataka,3,Bagalkot,Bagalkot,8,1809,1568633,867,20,13,11,1079324,72.69,
Uttar Pradesh,11,Baghpat,Baghpat,5,1465,1505175,1027,22,14,11,1004766,71.58,
West Bengal,10,Baharampur,Baharampur,7,1835,1453783,792,8,8,5,1154702,60.51,
Uttar Pradesh,56,Bahraich,Bahraich,5,1606,1638640,1020,12,10,8,934330,78.32,
Madhya Pradesh,15,BALAGHAT,Balaghat,8,1873,1629739,870,19,16,14,1113381,76.52,
Odisha,6,Balasore,Balasore,7,1553,1366218,880,12,10,7,1049861,77.70,
Uttar Pradesh,72,Ballia,Ballia,5,1757,1768271,1006,20,15,12,942275,55.45,
West Bengal,6,Balurghat,Balurghat,7,1487,1254497,844,13,12,9,1063404,77.70,
Gujarat,2,Banaskantha,Banaskantha,7,1755,1515711,864,27,14,12,887366,71.93,
Uttar Pradesh,48,Banda,Banda,5,1659,1601855,966,24,13,10,858689,88.36,
Karnataka,25,Bangalore central,Bangalore Central,8,1956,1931456,987,28,26,24,1074602,81.38,
Karnataka,24,Bangalore North,Bangalore North,8,2363,2401472,1016,19,14,12,1357553,82.63,
Karnataka,23,Bangalore Rural,Bangalore Rural,8,2497,2190398,877,16,15,12,1455610,77.68,
Karnataka,26,Bangalore South,Bangalore South,8,1926,1998724,1038,28,23,21,1114359,82.19,
West Bengal,14,Bangaon,Bangaon,7,1863,1540713,827,12,11,8,1284297,81.27,
Bihar,27,Banka,Banka,6,1580,1549456,981,21,17,14,899360,84.27,
West Bengal,36,Bankura,Bankura,7,1914,1503812,786,15,14,11,1236613,78.87,
Uttar Pradesh,67,Bansgaon,Bansgaon,5,1852,1760090,950,17,12,10,877911,61.48,
Rajasthan,20,Banswara,Banswara,8,1909,1698244,890,6,6,4,1171488,80.19,
Andhra Pradesh,32,Bapatla ,Bapatla ,7,1587,1392964,878,18,14,12,1186250,85.16,
Uttar Pradesh,53,Barabanki,Barabanki,5,1839,1721278,936,24,14,12,1068169,77.87,
Maharashtra,35,Baramati,Baramati,6,2174,1813553,834,15,9,7,1066963,72.08,
Jammu & Kashmir,1,Baramulla,Baramulla,16,1616,1190766,737,18,15,13,466039,76.15,
West Bengal,17,Barasat,Barasat,7,1835,1512792,824,14,12,9,1270164,82.55,
West Bengal,38,Bardhaman Purba,Bardhaman Purba,7,1892,1532244,810,9,9,7,1321140,77.47,
Gujarat,23,Bardoli,Bardoli,7,1905,1614106,847,14,10,8,1209609,77.68,
Uttar Pradesh,25,Bareilly,Bareilly,5,1660,1664081,1002,25,14,12,1018100,81.38,
Odisha,1,Bargarh,Bargarh,7,1827,1430717,783,8,8,5,1126153,76.15,
Rajasthan,17,Barmer,Barmer,8,2393,1680152,702,16,11,8,1219174,82.55,
Assam,6,Barpeta,Barpeta,10,1906,1430188,750,15,15,12,1207044,77.70,
West Bengal,15,Barrackpore,Barrackpore,7,1530,1287222,841,15,12,9,1052600,76.52,
West Bengal,18,Basirhat,Basirhat,7,1822,1490596,818,9,9,6,1274085,71.82,
Chhattisgarh,10,BASTAR,Bastar,8,1765,1298083,735,8,8,6,769972,60.51,
Uttar Pradesh,61,Basti,Basti,5,1864,1787476,959,14,13,10,1048539,57.16,
Punjab,11,Bathinda,Bathinda,9,1570,1525289,972,37,29,27,1176977,71.58,
Maharashtra,39,Beed,Beed,6,2165,1792652,828,63,39,37,1232390,74.02,
Bihar,24,Begusarai,Begusarai,7,1641,1778759,1084,14,12,9,1078133,82.63,
Karnataka,2,Belgaum,Belgaum,8,1873,1580895,844,21,15,13,1078982,71.93,
Karnataka,9,Bellary,Bellary,8,1693,1487945,879,14,12,10,1045913,53.30,
Odisha,20,Berhampur,Berhampur,7,1543,1334268,865,13,11,8,905933,80.19,
Madhya Pradesh,29,BETUL,Betul,8,2081,1607831,773,10,8,6,1047827,76.64,
Uttar Pradesh,78,Bhadohi,Bhadohi,5,1760,1834598,1042,30,14,11,982154,56.12,
Odisha,7,Bhadrak ,Bhadrak ,7,1699,1469498,865,8,8,5,1081971,51.05,
Bihar,26,Bhagalpur,Bhagalpur,6,1606,1685339,1049,21,18,16,974187,82.19,
Maharashtra,11,Bhandara - gondiya,Bhandara - Gondiya,6,2079,1655852,796,48,26,24,1197398,71.58,
Rajasthan,9,BHARATPUR,Bharatpur,8,1834,1690705,922,18,12,10,963675,53.30,
Gujarat,22,Bharuch,Bharuch,7,1725,1417548,822,17,14,12,1061060,82.01,
Gujarat,15,Bhavnagar,Bhavnagar,7,1720,1594531,927,21,16,14,918144,76.52,
Rajasthan,23,Bhilwara,Bhilwara,8,2066,1754901,849,12,11,9,1104156,77.68,
Madhya Pradesh,2,BHIND,Bhind,8,1846,1600137,867,15,9,7,729367,71.93,
Maharashtra,23,Bhiwandi,Bhiwandi,6,1990,1696584,853,17,13,11,875814,77.68,
Haryana,8,Bhiwani-Mahendragarh,Bhiwani-Mahendragarh,9,1633,1473912,903,31,26,23,1031357,53.06,
Andhra Pradesh,14,Bhongir ,Bhongir ,7,1825,1492240,818,15,13,11,1212738,81.27,
Madhya Pradesh,19,BHOPAL,Bhopal,8,1977,1957241,990,31,28,26,1130281,74.60,
Odisha,18,Bhubaneswar,Bhubaneswar,7,1531,1527768,998,12,11,9,891958,71.82,
Karnataka,7,Bidar,Bidar,8,1896,1600962,844,39,24,22,963206,51.05,
Karnataka,4,Bijapur,Bijapur,8,1869,1622635,868,17,14,12,966797,69.11,
Uttar Pradesh,4,Bijnor,Bijnor,5,1548,1562081,1009,25,12,9,1060410,69.11,
Rajasthan,2,Bikaner,Bikaner,8,1695,1592355,939,9,8,6,930766,71.93,
Chhattisgarh,5,BILASPUR,Bilaspur,8,1908,1729229,906,34,26,24,1090583,76.09,
West Bengal,42,Birbhum,Birbhum,7,1861,1495087,803,11,11,8,1275948,82.59,
West Bengal,37,Bishnupur,Bishnupur,7,1859,1466921,789,9,9,7,1272099,81.53,
Odisha,10,Bolangir,Bolangir,7,2086,1563025,749,8,8,5,1170961,60.51,
West Bengal,41,Bolpur,Bolpur,7,1939,1538420,793,7,7,5,1305062,78.05,
Uttar Pradesh,14,Bulandshahr,Bulandshahr,5,1703,1736436,1020,15,10,8,1010198,81.27,
Maharashtra,5,Buldhana,Buldhana,6,1718,1595435,929,26,17,15,978876,76.09,
West Bengal,39,Burdwan - durgapur,Burdwan - Durgapur,7,1970,1583495,804,8,8,5,1331732,74.02,
Bihar,33,Buxar,Buxar,6,1620,1640671,1013,19,16,13,889152,82.23,
Kerala,11,Chalakudy,Chalakudy,7,1070,1150143,1075,21,15,13,885037,71.58,
Karnataka,22,Chamarajanagar,Chamarajanagar,8,1940,1555781,802,18,14,12,1133326,82.01,
Uttar Pradesh,76,Chandauli,Chandauli,5,1601,1593133,995,25,21,18,980654,56.53,
Chandigarh,1,CHANDIGARH,Chandigarh,1,519,615205,1185,21,17,14,453460,76.15,
NCT OF Delhi,1,CHANDNI CHOWK                 ,Chandni Chowk                 ,10,1485,1447228,975,33,25,22,982275,76.15,
Maharashtra,13,Chandrapur,Chandrapur,6,1983,1753690,884,27,18,15,1109888,79.75,
Jharkhand,4,Chatra,Chatra,5,1499,1312562,876,21,20,19,712980,69.11,
Andhra Pradesh,10,CHELVELLA,Chelvella,7,2142,2185164,1020,24,15,12,1322312,60.51,
Tamil Nadu,4,Chennai central,Chennai Central,6,1153,1328018,1152,41,20,18,815229,69.11,
Tamil Nadu,2,Chennai North,Chennai North,6,1308,1422384,1087,51,40,38,910452,71.93,
Tamil Nadu,3,Chennai South,Chennai South,6,1611,1795743,1115,47,42,39,1085402,72.69,
Madhya Pradesh,16,CHHINDWARA,Chhindwara,7,1704,1402038,823,17,13,11,1107631,81.21,
Gujarat,21,Chhota Udaipur,Chhota Udaipur,7,1979,1536305,776,9,4,2,1101623,67.53,
Tamil Nadu,27,Chidambaram ,Chidambaram ,6,1598,1366189,855,23,15,12,1088842,84.27,
Karnataka,27,Chikkballapur,Chikkballapur,8,2119,1658410,783,23,19,16,1263911,84.27,
Karnataka,1,Chikkodi,Chikkodi,8,1728,1442206,835,15,12,10,1071495,76.15,
Karnataka,18,Chitradurga,Chitradurga,8,2081,1661277,798,19,14,11,1097666,71.82,
Andhra Pradesh,42,Chittoor ,Chittoor ,7,1582,1451851,918,10,7,5,1199137,82.59,
Rajasthan,21,Chittorgarh,Chittorgarh,8,2145,1819506,848,17,14,12,1172997,67.53,
Rajasthan,3,Churu,Churu,8,1859,1753825,943,14,12,10,1131930,72.69,
Tamil Nadu,20,Coimbatore,Coimbatore,6,1663,1720219,1034,50,25,22,1176627,80.19,
West Bengal,1,Cooch behar,Cooch Behar,7,1986,1613403,812,12,12,10,1332968,76.15,
Tamil Nadu,26,Cuddalore ,Cuddalore ,6,1408,1247907,886,26,17,15,985127,82.19,
Odisha,14,Cuttack,Cuttack,7,1576,1371617,870,11,10,8,980556,81.27,
Dadra & Nagar Haveli,1,Dadar & Nagar Haveli,Dadar & Nagar Haveli,1,240,196597,819,14,11,9,165324,76.15,
Gujarat,19,Dahod,Dahod,7,1650,1411765,856,13,10,8,901435,74.60,
Karnataka,17,Dakshina Kannada,Dakshina Kannada,8,1766,1565219,886,17,14,12,1207583,82.55,
Daman & Diu,1,Daman & diu,Daman & Diu,1,131,111818,854,5,4,2,87233,76.15,
Madhya Pradesh,7,DAMOH,Damoh,8,1967,1651614,840,14,10,8,913868,51.05,
Bihar,14,Darbhanga,Darbhanga,6,1405,1495445,1064,17,15,13,829289,81.27,
West Bengal,4,Darjeeling,Darjeeling,7,1829,1437154,786,13,13,11,1142696,69.11,
Rajasthan,11,Dausa,Dausa,8,1815,1524100,840,18,14,11,930921,71.58,
